seed,Pdist
model.png,0
sd10_10x1a1.png,6.379393911
sd10_10x2a1.png,9.078790913
sd11_10x1a2.png,5.613772746
sd11_10x2a1.png,9.731963374
sd11_10x2a2.png,6.856302859
sd11_10x2a3.png,5.335520385
sd11_10x2a4.png,8.030704964
sd11_10x3a1.png,4.710508347
sd11_10x3a2.png,4.851002187
sd11_10x3a3.png,9.149074027
sd11_10x3a4.png,9.083073391
sd11_10x4a1.png,8.471324178
sd11_10x4a2.png,6.627384267
sd11_10x6a2.png,12.63592761
sd11_10x6a3.png,12.3384674
sd11_10xs11.png,9.147555836
sd12_10x1a1.png,8.12034482
sd12_10x1a2.png,5.222174941
sd12_10x1a3.png,7.340375407
sd12_10x1a4.png,9.721168197
sd12_10x1a5.png,6.356798635
sd12_10x1a6.png,6.659579566
sd12_10x2a1.png,3.537419021
sd12_10x2a2.png,4.647221392
sd12_10x2a4.png,5.29905652
sd12_10x2a5.png,5.500808021
sd12_10x3a1.png,3.488552709
sd12_10x3a2.png,4.684726958
sd12_10x3a3.png,4.408199431
sd12_10x3a4.png,6.105462035
sd12_10x3a5.png,4.888989898
sd12_10x3a6.png,6.024855923
sd12_10x3a7.png,6.882506004
sd12_10x3a9.png,8.482924024
sd12_10x4a1.png,4.495429778
sd12_10x4a2.png,4.327945368
sd12_10x4a3.png,4.191260749
sd12_10x5a1.png,7.724276306
sd12_10x5a3.png,3.629202545
sd12_10x5a4.png,7.360857438
sd12_10x5a5.png,4.468780594
sd12_10x6a1.png,4.813868853
sd12_10x6a2.png,4.01386486
sd12_10x6a3.png,4.355456348
sd12_10x6a4.png,4.937160678
sd13_10x2a1.png,10.44349878
sd13_10x3a1.png,10.58599704
sd13_10x3a2.png,12.89870795
sd13_10x4a1.png,12.7747581
sd13_10x4a2.png,10.85193275
sd13_10x4a3.png,8.614651602
sd13_10x5a1.png,9.978476838
sd13_10x6a1.png,7.803062077
sd13_10x6a3.png,10.9742122
sd13_10x7a1.png,12.35097837
sd14_10x1a1.png,5.099455309
sd14_10x2a1.png,4.897618469
sd14_10x2a3.png,10.78558709
sd14_10x2a5.png,9.985934553
sd14_10x2a6.png,9.134853888
sd14_10x3a10.png,8.245065865
sd14_10x3a11.png,11.97307164
