seed,Pdist
model.png,0
sd10_10x1a1.png,4.758734659
sd10_10x1a2.png,5.451707174
sd10_10x1a3.png,5.480977204
sd10_10x1a4.png,3.256958363
sd10_10x2a1.png,5.602876245
sd10_10x3a1.png,7.434529052
sd10_10x3a4.png,8.35417394
sd10_10x3a5.png,4.606034689
sd10_10x3a6.png,5.723538144
sd10_10x4a1.png,6.025409161
sd10_10x4a10.png,6.918493735
sd10_10x4a11.png,4.646623625
sd10_10x4a2.png,5.88812364
sd10_10x4a3.png,6.617988953
sd10_10x4a4.png,9.576069711
sd10_10x4a6.png,6.598989822
sd10_10x4a8.png,7.938303765
sd10_10x4a9.png,6.022642462
sd10_10x5a4.png,6.614630249
sd10_10x5a5.png,5.946988033
sd10_10xs1a1.png,6.978538529
sd10_10xs2a1.png,4.513067447
sd10_10xs2a2.png,5.952217141
sd10_10xs3a1.png,6.391661234
sd11_10x1a1.png,5.729359088
sd11_10x1a2.png,8.548619122
sd11_10x1a3.png,4.41600624
sd11_10x1a4.png,5.538852669
sd11_10x1a5.png,7.34234295
sd11_10x1a6.png,5.7130455
sd11_10x2a1.png,8.083178693
sd11_10x2a11.png,8.438404273
sd11_10x2a12.png,4.744236269
sd11_10x2a13.png,5.057667447
sd11_10x2a14.png,4.508880127
sd11_10x2a15.png,6.337893095
sd11_10x2a2.png,6.025040341
sd11_10x2a3.png,7.220187748
sd11_10x2a4.png,6.767815994
sd11_10x2a5.png,5.56536911
sd11_10x2a6.png,4.202115869
sd11_10x2a7.png,5.159241977
sd11_10x2a8.png,4.588875437
sd11_10x2a9.png,4.907816894
sd11_10x3a1.png,5.257904103
sd11_10x3a10.png,5.608921465
sd11_10x3a11.png,4.026716335
sd11_10x3a12.png,5.470628646
sd11_10x3a13.png,5.122824742
sd11_10x3a14.png,5.314550258
sd11_10x3a15.png,3.564329452
sd11_10x3a2.png,3.43074336
sd11_10x3a4.png,5.808614293
sd11_10x3a5.png,8.513649172
sd11_10x3a6.png,8.040798744
sd11_10x3a7.png,6.595621443
sd11_10x3a8.png,5.536143865
sd11_10x3a9.png,5.56536911
sd11_10x4a1.png,4.122162324
sd11_10x4a10.png,6.11664396
sd11_10x4a11.png,5.543865479
sd11_10x4a12.png,5.24711561
sd11_10x4a13.png,8.785657504
sd11_10x4a14.png,6.665166498
sd11_10x4a15.png,8.864034697
sd11_10x4a2.png,7.093815773
sd11_10x4a3.png,6.289320755
sd11_10x4a4.png,4.246436414
sd11_10x4a5.png,5.679690915
sd11_10x4a6.png,5.191017883
sd11_10x4a7.png,5.368943616
sd11_10x4a8.png,6.123905798
sd11_10x4a9.png,5.120763832
sd11_10x5a1.png,6.523632253
sd11_10x5a2.png,4.603742439
sd11_10x5a3.png,3.469710202
sd11_10x5a4.png,4.472260179
sd11_10x5a5.png,3.978832883
sd11_10x5a6.png,6.605048574
sd11_10x5a7.png,4.623490745
sd12_10x1a2.png,3.497300546
sd12_10x1a4.png,4.480079364
sd12_10x2a1.png,5.549874873
sd12_10x2a3.png,4.0167704
sd12_10x2a4.png,4.002221605
sd12_10x2a5.png,5.982474404
sd12_10x2a6.png,3.84649913
sd12_10x2a7.png,5.236304889
sd12_10x3a10.png,6.513831438
sd12_10x3a2.png,4.723463889
sd12_10x3a4.png,6.360380841
sd12_10x3a5.png,6.368586098
sd12_10x3a7.png,3.79809894
sd12_10x3a8.png,4.725698067
sd12_10x3a9.png,3.534905311
sd12_10x4a1.png,3.634862064
sd12_10x4a2.png,4.164265975
sd12_10x4a3.png,8.957678271
sd12_10x5a1.png,5.927244066
sd12_10x5a2.png,3.032600644
sd12_10x5a4.png,4.282392893
sd12_10x5a7.png,5.284253337
sd12_10x6a2.png,7.57334507
sd12_10x6a4.png,3.458323293
sd12_10x6a5.png,5.977085875
sd12_10x6a6.png,5.837522305
sd12_10x6a7.png,3.079502124
sd12_10x6a8.png,8.884318269
sd12_10x7a1.png,5.485637814
sd12_10x7a10.png,5.598412473
sd12_10x7a3.png,7.934453702
sd12_10x7a4.png,4.502838611
sd12_10x7a5.png,5.115988011
sd12_10x7a6.png,4.532843111
sd12_10x7a7.png,4.893079012
sd12_10x7a8.png,6.031767753
sd12_10x7a9.png,7.091779278
sd12_10x81.png,5.953990259
sd12_10x82.png,6.249977778
sd13_10x1a1.png,7.305173205
sd13_10x1a2.png,8.004720829
sd13_10x1a3.png,7.245841719
sd13_10x1a4.png,4.531249521
sd13_10x1a5.png,4.882280888
sd13_10x1a6.png,5.441609239
sd13_10x2a1.png,5.960891059
sd13_10x2a2.png,10.57985507
sd13_10x2a3.png,6.260724133
sd13_10x2a4.png,4.170664749
sd13_10x2a5.png,4.811675615
sd13_10x2a6.png,6.944462222
sd13_10x3a1.png,6.607066924
sd13_10x3a2.png,4.552166761
sd13_10x3a3.png,3.933757039
sd13_10x3a4.png,5.537849563
sd13_10x3a5.png,7.729956159
sd13_10x3a6.png,8.527797684
sd13_10x3a7.png,5.586889415
sd13_10x3a8.png,7.140883854
sd13_10x4a1.png,6.652234378
sd13_10x4a2.png,6.398350482
sd13_10x4a3.png,4.359408726
sd13_10x4a4.png,6.580273551
sd13_10x4a5.png,4.496788978
sd13_10x5a1.png,4.96028673
sd13_10x5a2.png,4.258586098
sd13_10x5a3.png,5.304295953
sd13_10x5a4.png,3.182940639
sd13_10x5a5.png,5.480875842
sd13_10x5a6.png,3.984414079
sd13_10x6a1.png,9.433451118
sd13_10x6a2.png,5.861266454
sd13_10x6a3.png,6.572839738
sd13_10x6a4.png,4.011234224
sd13_10x6a5.png,7.424059985
sd13_10x6a6.png,8.487376247
sd13_10x6a7.png,6.678323143
sd13_10x7a1.png,3.795318754
sd13_10x7a10.png,3.45784133
sd13_10x7a2.png,6.251310974
sd13_10x7a3.png,7.370511817
sd13_10x7a4.png,4.397221345
sd13_10x7a5.png,5.796934056
sd13_10x7a6.png,4.306455103
sd13_10x7a7.png,7.276369669
sd13_10x7a8.png,3.096413696
sd13_10x7a9.png,4.926120854
sd13_10xs11.png,7.380379394
sd13_10xs12.png,5.461379557
sd13_10xs13.png,5.629091105
sd13_10xs14.png,4.395452195
sd13_10xs15.png,7.767596511
sd13_10xs16.png,5.832476127
sd13_10xs21.png,9.105797909
sd13_10xs24.png,4.527815269
sd13_10xs25.png,3.847798794
sd13_10xs3a10.png,4.734037506
sd13_10xs3a2.png,5.879814812
sd13_10xs3a3.png,4.656775231
sd13_10xs3a4.png,5.182020198
sd13_10xs3a5.png,5.834380858
sd13_10xs3a6.png,5.304714884
sd13_10xs3a7.png,4.810289897
sd13_10xs3a8.png,4.647340936
sd13_10xs3a9.png,4.930517214
sd13_10xs4a1.png,6.3593326
sd13_10xs4a2.png,4.220847729
sd13_10xs4a3.png,5.21440313
sd13_10xs4a4.png,3.931779354
sd13_10xs4a5.png,4.865981687
sd13_10xs4a6.png,8.744267964
sd13_10xs4a7.png,5.611001099
sd13_10xs4a8.png,4.566666667
sd13_10xs5a1.png,5.844655678
sd13_10xs5a2.png,5.1674193
sd13_10xs5a3.png,6.368324392
sd13_10xs5a4.png,4.85706816
sd13_10xs5a5.png,5.247644974
sd13_10xs6a1.png,8.117265549
sd13_10xs6a10.png,6.4
sd13_10xs6a11.png,5.933988728
sd13_10xs6a12.png,5.076963222
sd13_10xs6a13.png,5.07400784
sd13_10xs6a2.png,3.654677368
sd13_10xs6a3.png,5.868370965
sd13_10xs6a4.png,6.269768736
sd13_10xs6a5.png,5.756349152
sd13_10xs6a6.png,4.161062898
sd13_10xs6a7.png,5.1674193
sd13_10xs6a8.png,4.549969475
sd13_10xs7a1.png,4.173061759
sd13_10xs7a2.png,3.957692931
sd13_10xs7a3.png,5.1576265
sd13_10xs7a5.png,6.348403124
sd13_10xs7a6.png,7.340753821
sd13_10xs7a7.png,5.013869652
sd13_10xs8a1.png,6.004627845
sd13_10xs8a2.png,5.640823423
sd13_10xs8a3.png,6.259747954
sd15_10x10a1.png,3.368151488
sd15_10x10a2.png,5.45068803
sd15_10x10a3.png,5.870737224
sd15_10x10a4.png,8.755252392
sd15_10x10a5.png,5.337914699
sd15_10x10a6.png,3.93926107
sd15_10x10a7.png,4.838732616
sd15_10x12.png,5.271305974
sd15_10x13.png,3.727674282
sd15_10x14.png,5.397530299
sd15_10x2b1.png,4.355073669
sd15_10x2b2.png,4.92036584
sd15_10x3a1.png,5.652826235
sd15_10x3a2.png,4.605552205
sd15_10x3a3.png,4.657848812
sd15_10x3a4.png,5.752004482
sd15_10x3a5.png,5.77157787
sd15_10x3a6.png,3.790778284
sd15_10x3a7.png,5.78964593
sd15_10x3a8.png,5.706818534
