seed,length_mu
sd12_10x7a8_roothairs.csv,234.1449783
sd12_10x7a9_roothairs.csv,181.5384437
sd12_10x81_roothairs.csv,124.2702996
sd12_10x82_roothairs.csv,82.5380492
sd13_10x1a1_roothairs.csv,128.8569436
sd13_10x1a2_roothairs.csv,141.9662781
sd13_10x1a3_roothairs.csv,182.0180664
sd13_10x1a4_roothairs.csv,139.704422
sd13_10x1a5_roothairs.csv,137.2163696
sd13_10x1a6_roothairs.csv,147.4236755
sd13_10x2a1_roothairs.csv,154.2848816
sd13_10x2a2_roothairs.csv,229.8139015
sd13_10x2a3_roothairs.csv,171.7986725
sd13_10x2a4_roothairs.csv,213.0860014
sd13_10x2a5_roothairs.csv,218.0824585
sd13_10x2a6_roothairs.csv,167.6822815
sd13_10x3a1_roothairs.csv,139.1806488
sd13_10x3a2_roothairs.csv,204.400238
sd13_10x3a3_roothairs.csv,139.8022003
sd13_10x3a4_roothairs.csv,172.4730072
sd13_10x3a5_roothairs.csv,190.9752502
sd13_10x3a6_roothairs.csv,126.5083923
sd13_10x3a7_roothairs.csv,118.1788177
sd13_10x3a8_roothairs.csv,130.4339279
sd13_10x4a1_roothairs.csv,208.3241776
sd13_10x4a2_roothairs.csv,173.976887
sd13_10x4a3_roothairs.csv,154.865387
sd13_10x4a4_roothairs.csv,178.8657833
sd13_10x4a5_roothairs.csv,121.7999672
sd13_10x5a1_roothairs.csv,172.7626392
sd13_10x5a2_roothairs.csv,190.1135559
sd13_10x5a3_roothairs.csv,129.5975346
sd13_10x5a4_roothairs.csv,122.004692
sd13_10x5a5_roothairs.csv,164.1432427
sd13_10x5a6_roothairs.csv,155.9087875
sd13_10x6a1_roothairs.csv,133.5832657
sd13_10x6a2_roothairs.csv,211.0809021
sd13_10x6a3_roothairs.csv,157.076368
sd13_10x6a4_roothairs.csv,127.6373072
sd13_10x6a5_roothairs.csv,196.8739514
sd13_10x6a6_roothairs.csv,208.3185024
sd13_10x6a7_roothairs.csv,192.7929102
sd13_10x7a10_roothairs.csv,135.1066818
sd13_10x7a1_roothairs.csv,113.0937732
sd13_10x7a2_roothairs.csv,137.763189
sd13_10x7a3_roothairs.csv,153.8768662
sd13_10x7a4_roothairs.csv,151.4326599
sd13_10x7a5_roothairs.csv,130.9995382
sd13_10x7a6_roothairs.csv,183.9149017
sd13_10x7a7_roothairs.csv,212.9356083
sd13_10x7a8_roothairs.csv,138.1207298
sd13_10x7a9_roothairs.csv,106.5217017
sd13_10xs11_roothairs.csv,229.3177705
sd13_10xs12_roothairs.csv,162.0163563
