Control,length_mu
sd14_10x97_roothairs.csv,128.9452744
sd15_10x11_roothairs.csv,154.3418861
sd15_10x12_roothairs.csv,241.6054492
sd15_10x13_roothairs.csv,157.4891296
sd15_10x2a1_roothairs.csv,138.4582352
sd15_10x2a2_roothairs.csv,138.8735495
sd15_10x2a3_roothairs.csv,199.7496286
sd15_10x2a4_roothairs.csv,147.6894623
sd15_10x2a5_roothairs.csv,190.3703953
sd15_10x3a1_roothairs.csv,160.6463928
sd15_10x3a2_roothairs.csv,166.1880815
sd15_10x3a3_roothairs.csv,186.6455994
sd15_10x3a4_roothairs.csv,166.0170141
sd15_10x3a5_roothairs.csv,85.89430448
sd15_10x3a6_roothairs.csv,162.541748
sd15_10x3a7_roothairs.csv,174.3592529
sd15_10x4a1_roothairs.csv,165.6783447
sd15_10x4a2_roothairs.csv,185.1022737
sd15_10x4a3_roothairs.csv,179.7956512
sd15_10x4a4_roothairs.csv,150.1786804
sd15_10x4a5_roothairs.csv,158.4906487
sd15_10x5a1_roothairs.csv,101.7111359
sd15_10x5a2_roothairs.csv,119.8313248
sd15_10x5a3_roothairs.csv,100.8853943
sd15_10x5a4_roothairs.csv,134.0824018
sd15_10x5a5_roothairs.csv,125.9656403
sd15_10x5a6_roothairs.csv,129.000619
sd15_10x5a7_roothairs.csv,153.4910608
sd15_10x6a1_roothairs.csv,130.5387878
sd15_10x6a2_roothairs.csv,120.1067617
sd15_10x6a3_roothairs.csv,110.4019047
sd15_10x6a4_roothairs.csv,122.5888351
sd15_10x6a5_roothairs.csv,140.0331722
sd15_10x71_roothairs.csv,143.1247119
sd15_10xs11_roothairs.csv,115.1289246
sd15_10xs21_roothairs.csv,137.489923
sd15_10xs22_roothairs.csv,174.5730591
sd15_10xs3a1_roothairs.csv,153.3554077
sd15_10xs3a2_roothairs.csv,118.9614716
sd15_10xs410_roothairs.csv,148.3499169
sd15_10xs41_roothairs.csv,106.7526809
sd15_10xs42_roothairs.csv,163.8866446
sd15_10xs43_roothairs.csv,168.6154038
sd15_10xs44_roothairs.csv,190.6774507
sd15_10xs45_roothairs.csv,220.5570125
sd15_10xs46_roothairs.csv,122.8756577
sd15_10xs47_roothairs.csv,143.5870857
sd15_10xs48_roothairs.csv,174.0914917
sd15_10xs49_roothairs.csv,161.9748765
sd15_10xs51_roothairs.csv,125.5824966
sd15_10xs52_roothairs.csv,204.4913025
sd15_10xs53_roothairs.csv,127.5534214
sd15_10xs54_roothairs.csv,164.5175986
sd15_10xs55_roothairs.csv,163.4327791
sd15_10xs56_roothairs.csv,229.9509888
sd16_10x1a1_roothairs.csv,241.3584516
sd16_10x1a2_roothairs.csv,168.7812119
sd16_10x1a3_roothairs.csv,170.7569054
sd16_10x1a4_roothairs.csv,189.4158991
sd16_10x1a5_roothairs.csv,192.579212
sd16_10x1a6_roothairs.csv,204.4506729
sd16_10x1a7_roothairs.csv,156.6250244
sd16_10x1a8_roothairs.csv,249.5956395
sd16_10x1a9_roothairs.csv,279.4137868
sd16_10x2a10_roothairs.csv,163.1729736
sd16_10x2a11_roothairs.csv,157.6873157
sd16_10x2a12_roothairs.csv,126.805357
sd16_10x2a13_roothairs.csv,118.0950317
sd16_10x2a14_roothairs.csv,70.89392524
sd16_10x2a15_roothairs.csv,130.385376
sd16_10x2a16_roothairs.csv,105.2913895
sd16_10x2a1_roothairs.csv,192.6645065
sd16_10x2a2_roothairs.csv,243.884501
sd16_10x2a4_roothairs.csv,154.7767639
sd16_10x2a5_roothairs.csv,208.0001831
sd16_10x2a6_roothairs.csv,159.6369925
sd16_10x2a7_roothairs.csv,182.127771
sd16_10x2a8_roothairs.csv,191.3036804
sd16_10x2a9_roothairs.csv,162.6127691
sd16_10x3a10_roothairs.csv,150.0577287
sd16_10x3a11_roothairs.csv,152.131828
sd16_10x3a12_roothairs.csv,152.1514191
sd16_10x3a13_roothairs.csv,150.7626495
sd16_10x3a15_roothairs.csv,107.1426275
sd16_10x3a1_roothairs.csv,112.1191711
sd16_10x3a2_roothairs.csv,76.68307227
sd16_10x3a3_roothairs.csv,118.7891335
sd16_10x3a4_roothairs.csv,107.7063828
sd16_10x3a5_roothairs.csv,106.3776645
sd16_10x3a6_roothairs.csv,103.5423845
sd16_10x3a7_roothairs.csv,139.3580112
sd16_10x3a8_roothairs.csv,106.9471529
sd16_10x3a9_roothairs.csv,156.9870544
sd16_10x4a1_roothairs.csv,135.5210419
sd16_10x4a2_roothairs.csv,102.0167694
sd16_10x4a3_roothairs.csv,155.8935852
sd16_10x4a4_roothairs.csv,133.2039124
sd16_10x4a5_roothairs.csv,77.64173355
sd16_10xs1a1_roothairs.csv,145.7311285
sd16_10xs1a2_roothairs.csv,167.837016
sd16_10xs1a3_roothairs.csv,181.9604057
sd16_10xs2a1_roothairs.csv,162.8755369
sd16_10xs2a2_roothairs.csv,151.2230011
sd16_10xs2a3_roothairs.csv,154.4113304
sd16_10xs2a4_roothairs.csv,173.9752826
sd16_10xs2a5_roothairs.csv,178.6963867
sd16_10xs2a6_roothairs.csv,143.1929545
sd16_10xs2a7_roothairs.csv,149.5256735
sd17_10x2a1_roothairs.csv,91.03264653
sd17_10x2a2_roothairs.csv,95.20946319
sd17_10x2a3_roothairs.csv,174.4385971
sd17_10x3a1_roothairs.csv,220.8687651
sd17_10x3a2_roothairs.csv,165.9628601
sd17_10x4a1_roothairs.csv,137.2383728
sd17_10x5a1_roothairs.csv,170.4622063
sd18_10x1a1_roothairs.csv,106.8190342
sd18_10x1a2_roothairs.csv,105.2585102
sd18_10x1a3_roothairs.csv,135.4046921
sd18_10x1a4_roothairs.csv,113.1982315
sd18_10x2a1_roothairs.csv,161.9317578
sd18_10x2a2_roothairs.csv,188.7768088
sd18_10x3a1_roothairs.csv,122.0208605
sd18_10x3a2_roothairs.csv,93.98798221
sd18_10x3a3_roothairs.csv,106.2567673
sd18_10x3a4_roothairs.csv,139.9753328
sd18_10xs1a1_roothairs.csv,204.106102
sd18_10xs1a2_roothairs.csv,83.37163675
sd18_10xs1a3_roothairs.csv,142.1252413
sd18_10xs2a1_roothairs.csv,81.26846313
sd18_10xs2a2_roothairs.csv,165.6053178
sd18_10xs2a3_roothairs.csv,146.5696426
sd18_10xs3a1_roothairs.csv,118.8924026
sd18_10xs3a2_roothairs.csv,89.82455444
sd19_10x1a1_roothairs.csv,128.1476031
sd19_10x1a2_roothairs.csv,105.9292329
sd19_10x1a3_roothairs.csv,157.4858648
sd19_10x1a4_roothairs.csv,149.2644065
sd19_10x1a5_roothairs.csv,173.2387772
sd19_10x1a6_roothairs.csv,184.5528656
sd19_10x1a7_roothairs.csv,187.1055145
sd19_10x1a8_roothairs.csv,181.6202856
sd19_10x2a1_roothairs.csv,193.8041767
sd19_10x2a2_roothairs.csv,105.7564102
sd19_10x2a3_roothairs.csv,137.8497261
sd19_10x2a4_roothairs.csv,150.3956451
sd19_10x2a5_roothairs.csv,189.5744529
sd19_10x2a6_roothairs.csv,164.878479
sd19_10x3a1_roothairs.csv,233.8034515
sd19_10x3a2_roothairs.csv,174.6290072
sd19_10x3a3_roothairs.csv,175.6842957
sd19_10x3a4_roothairs.csv,164.1748962
